group,x,y
0,247.92034001077124,250.0
0,253.86908574750038,250.0
0,259.2728742058982,250.0
0,262.58378026355393,250.0
0,269.60623673004255,250.0
0,271.28661551163697,250.0
0,277.6180423760058,250.0
0,282.6626652434071,250.0
0,285.6487391100785,250.0
0,291.64392486287335,250.0
0,298.4611802126925,250.0
0,299.4018297759232,250.0
0,306.0702607281893,250.0
0,311.3522258198959,250.0
0,315.6479213589292,250.0
0,317.9724483218165,250.0
0,321.67090717773044,250.0
0,325.981234895302,250.0
0,332.46004896311496,250.0
0,337.20541196541063,250.0
0,340.25650601591843,250.0
0,345.49317314975815,250.0
0,351.5428951879881,250.0
0,353.7022456062606,250.0
0,362.40881156476655,250.0
0,368.1755086880915,250.0
0,367.7571318480263,250.0
0,374.39069067978545,250.0
0,378.8842245509871,250.0
0,382.14873812025604,250.0
0,387.13538582466083,250.0
0,395.8636307045898,250.0
0,394.71560330894954,250.0
0,401.9300871297684,250.0
0,405.33724737863906,250.0
0,410.07535736702846,250.0
0,415.64842235867195,250.0
0,418.19753186918734,250.0
0,423.6060862066586,250.0
0,429.6177693196375,250.0
1,247.5124439037358,249.8696327091528
1,256.01675862104355,250.315324957811
1,261.46762137270184,250.60099256980203
1,265.0443340484936,250.78844013827378
1,269.6188763235472,251.02818174014575
1,271.1148897326652,251.10658448069526
1,280.4826683402828,251.5975289543357
1,282.40906288854234,251.69848701463292
1,286.9826736853871,251.9381797998005
1,295.0349272137758,252.3601805254474
1,299.71813535616576,252.6056170641103
1,304.1650146175472,252.8386681309391
1,308.02611388067953,253.04101976891127
1,314.0119160850177,253.35472236966817
1,314.44267584172786,253.37729753192184
1,318.91352561552424,253.6116048400746
1,325.94038230966703,253.9798667947548
1,327.7119747868546,254.07271202227875
1,337.7377861098948,254.59814252923005
1,336.8009363782045,254.54904431527024
1,342.9403738913999,254.8707986013838
1,347.3372468883937,255.10122895094582
1,354.3740012828772,255.4700096221209
1,357.0162603986697,255.60848455466996
1,364.3950413236029,255.99519007676176
1,369.97200393564606,256.28746630240346
1,373.02928939979427,256.4476918442138
1,379.44306890835236,256.7838237850684
1,381.4164551588577,256.8872445761251
1,384.5326177208286,257.05055573588294
1,390.882472700727,257.3833375341488
1,398.5397064274548,257.7846361492178
1,399.2372389956035,257.82119228209206
1,407.93534531989883,258.27704071851616
1,412.03723141893977,258.49201145983886
1,417.1925427126016,258.7621898762525
1,421.7271264195531,258.99983733830686
1,423.27179580488263,259.0807900305185
1,432.0899729124816,259.5429311100523
1,434.576320306869,259.6732350555183
2,252.62421881253562,250.27581651146136
2,256.6905351308605,250.70320357844724
2,256.9580760081098,250.73132325775282
2,262.44738543547516,251.30827292725274
2,268.4977537856972,251.94419226577847
2,273.7341744100937,252.4945622510351
2,279.3915572583597,253.08917714890723
2,283.18449591791745,253.48783106612967
2,290.4387202050996,254.25028076227966
2,295.09745200372953,254.73993320528254
2,300.75875794526297,255.33496043687245
2,304.4860897945178,255.72671880046977
2,309.7873566263299,256.2839043967667
2,312.18595754564086,256.5360075120984
