group,x,y
0,102.43166653470789,10.0
0,105.39303672039159,10.0
0,106.3697075286471,10.0
0,112.96573921873025,10.0
0,117.23434718450079,10.0
0,124.4984363280836,10.0
0,127.71626989895513,10.0
0,134.03806192348642,10.0
0,136.32290832205803,10.0
0,138.65401280228338,10.0
0,144.6211307280064,10.0
0,153.59927345397458,10.0
0,154.1598649200737,10.0
0,162.9134271481518,10.0
0,163.25845606661122,10.0
0,171.95413824938396,10.0
0,175.45260732072524,10.0
0,175.9182298707965,10.0
0,181.91075922981685,10.0
0,188.46767683221674,10.0
0,193.19134003788625,10.0
0,195.69061893201308,10.0
0,203.9887381006168,10.0
0,205.38392931659854,10.0
0,208.0333746102052,10.0
0,214.1015074499004,10.0
0,217.9059654305779,10.0
0,223.4763436586423,10.0
0,228.04517561206453,10.0
0,236.38014993105807,10.0
0,236.03918417258373,10.0
0,241.40685725303288,10.0
0,246.8133995164777,10.0
0,250.17396481362837,10.0
0,256.1148254860708,10.0
0,264.0753671161132,10.0
0,264.53843315152295,10.0
0,271.147149617218,10.0
0,275.24181843421036,10.0
0,279.9318937765886,10.0
1,102.03305313872052,10.106547800164758
1,102.19687389198816,10.115133282043992
1,107.25359489860134,10.380144800454493
1,115.01111122125691,10.786699003676816
1,119.41317195198387,11.017401230843298
1,121.38038902507058,11.120498709011455
1,131.17972549208625,11.63406017169507
1,131.8388068854957,11.66860116389043
1,140.69314486948258,12.132637354652664
1,145.2111337976834,12.369415121205037
1,148.89283350445172,12.562364826823787
1,152.03791503142105,12.727191565316367
1,159.34356489600844,13.110064450938843
1,159.53091450841555,13.119883028074637
1,167.72981613046153,13.549569254646192
1,170.574293916691,13.69864201864242
1,173.5513402418577,13.854662405367144
1,182.0335227686121,14.299194755067756
1,185.7761885114549,14.495339555248863
1,191.19187119402136,14.779163457943794
1,194.91964908950155,14.97452801910632
1,200.6254767007927,15.27355777318595
1,202.06005419977447,15.348740794117003
1,207.23815562647547,15.62011359079275
1,214.98903291340042,16.02631985689585
1,218.78309202838867,16.225158069580964
1,221.01350648978848,16.342049138383707
1,225.98335298374036,16.602507756509333
1,231.71127843124336,16.902695609111788
1,238.55564793324163,17.261393815304093
1,239.6216563459317,17.317260948910217
1,244.99999436311356,17.599127700624273
1,251.37738511150488,17.933352587367676
1,257.2274385715285,18.239940897894584
1,257.4474167961921,18.251469468139828
1,266.64178439508373,18.733325855909683
1,267.90238854049755,18.79939131972582
1,275.244623716886,19.18418156029417
1,281.8163839225848,19.528592918655505
1,284.97881836726106,19.69432908502919
2,100.50955657631116,10.053556554277781
2,107.08534594354086,10.744699866988626
2,107.01570706795432,10.73738052622534
2,113.32441626081894,11.40045258145492
2,118.30280985782242,11.92370283331951
2,124.05158607419294,12.527923561254642
2,131.481567238686,13.308846049587068
2,133.73997038443602,13.54621378514272
2,140.92777641390632,14.301682641108211
2,142.95849103013995,14.51511934789028
2,146.92344790217368,14.931853107786774
2,153.95099289015357,15.67047784954354
